Idiom,Meaning
닭알 때 짓밟아 뭉개 치워야 한다,부정적인 요소가 더 커지고 자라나기 전에 아예 없애 버려야 함을 비유적으로 이르는 말.
닭알 임을 이고 얼음판을 건느듯,일이 잘못될까 봐 몹시 불안하고 조심스러운 상태를 비유적으로 이르는 말.
닭알인지 오리알인지 알 수 없다, 무엇이 무엇인지 도저히 분간할 수 없다는 말.
닭의 갈비 먹을 것 없다,형식만 있고 내용이 보잘것없음을 비유적으로 이르는 말.
닭의 새끼가 발을 벗으니 오뉴월만 여긴다, 한창 추운 때에 추위를 막을 대책을 전혀 세우지 않음을 비유적으로 이르는 말.
닭의 입이 될지라도 소의 꼬리는 되지 마라,크고 훌륭한 자의 뒤를 쫓아다니는 것보다는 차라리 작고 보잘것없는 데서 남의 우두머리가 되는 것이 낫다는 말.
닭이 천이면 봉이 한 마리 있다,사람이 많으면 그중에는 뛰어난 사람도 있음을 비유적으로 이르는 말.
담배는 꽁초 맛에 피운다,담배가 떨어져 꽁초를 말아 피우는 맛이 아주 좋다는 말.
담을 것은 많은데 광주리가 작다,해야 할 일은 많은데 그것을 감당할 만한 여러 가지 준비나 역량이 부족함을 비유적으로 이르는 말.
답이 안 나오다,해결 방법이 마련되거나 떠오르지 아니하다.
닷 돈 보고 보리밭에 갔다가 명주 속옷 찢었다,작은 이익을 얻으려다 도리어 큰 손해를 봄을 비유적으로 이르는 말.
닷새를 굶어도 풍잠 멋으로 굶는다,체면 때문에 곤란을 무릅씀을 비유적으로 이르는 말.
당나귀 귀 치레, 당치도 않은 곳에 어울리지 않게 쓸데없는 치레를 하여 오히려 겉모양을 흉하게 만듦을 비유적으로 이르는 말.
당나귀 못된 것은 생원님만 업신여긴다,못된 사람일수록 윗사람이나 남을 격에 맞지 않게 깔봄을 비유적으로 이르는 말.
당나귀 새낀가 보다 술 때 아는 걸 보니,술 잘 먹는 사람이 술 먹을 때를 용하게 알아서 오는 경우를 비유적으로 이르는 말.
대 끝에서 대가 나고 싸리 끝에서 싸리가 난다,모든 일은 근본에 따라 거기에 걸맞은 결과가 나타나는 것임을 비유적으로 이르는 말.
대감 말이 죽었다면 먹던 밥을 밀쳐 놓고 가고 대감이 죽었다면 먹던 밥 다 먹고 간다, 권력이 있을 때는 아첨을 하지만 권력이 없어지면 돌아다보지 않는 세상인심을 비유적으로 이르는 말.
대감 죽은 데는 안 가도 대감 말 죽은 데는 간다, 권력이 있을 때는 아첨을 하지만 권력이 없어지면 돌아다보지 않는 세상인심을 비유적으로 이르는 말.
대꼬챙이로 째는 소리를 한다,유난히 날카로운 소리를 지르다.
대나무에서 대 난다,모든 일은 근본에 따라 거기에 걸맞은 결과가 나타나는 것임을 비유적으로 이르는 말.
대낮에 도깨비에 홀렸나,도무지 이해가 되지 않는 일을 당한 경우를 이르는 말.
대들보 썩는 줄 모르고 기왓장 아끼는 격,장차 크게 손해 볼 것은 모르고 당장 돈이 조금 든다고 사소한 것을 아끼는 어리석은 행동을 비유적으로 이르는 말.
대매에 때려 죽일 놈,크게 잘못한 사람을 욕하는 말.
대명전 대들보의 명매기 걸음,맵시를 내고 아양을 부리며 아장아장 걷는 여자의 걸음을 비유적으로 이르는 말.
대사 뒤에 병풍 지고 나간다, 너무도 염치없는 짓을 함을 이르는 말.
대장장이 집에 식칼이 놀고 미장이 집에 구들장 빠진 게 삼 년 간다, 어떠한 물건이 흔하게 있을 듯한 곳에 의외로 많지 않거나 없음을 비유적으로 이르는 말.
대중 잡다,어림짐작으로 헤아려 짐작하다.
대천가의 논은 살 것이 아니다,큰 강가의 논은 수해를 입기가 쉬움을 비유적으로 이르는 말.
대추나무에 연 걸리듯,여기저기에 빚을 많이 진 것을 비유적으로 이르는 말.
대한 칠 년 비 바라듯, 몹시 간절히 바람을 비유적으로 이르는 말.
댑싸리 밑의 개 팔자,하는 일 없이 놀고먹는 편한 팔자를 비유적으로 이르는 말.
댓구멍으로 하늘을 본다, 전체를 포괄적으로 보지 못하는 매우 좁은 소견이나 관찰을 비꼬는 말.
댓진 먹은 뱀 ,이미 운명이 결정된 사람을 비유적으로 이르는 말.
더도 말고 덜도 말고 늘 가윗날만 같아라,잘 먹고 잘 입고 편히 살기를 바라는 말.
더운죽에 파리 날아들듯,무턱대고 덤벙이다가 곤경에 빠짐을 비유적으로 이르는 말.
더운죽에 혀 데기," 그르칠 것이 뻔한 일을 하는 것을 비유적으로 이르는 말.,대단치 않은 일에 낭패를 보아 비록 짧은 동안이나마 어찌할 바를 모르는 것을 비유적으로 이르는 말."
더워서 못 먹고 식어서 못 먹고,이런저런 구실과 조건을 대면서 이러쿵저러쿵 불만이 많음을 비유적으로 이르는 말.
더위 들다,여름철에 더위 때문에 몸에 이상 증세가 생기다.
덕 되다,이익이나 도움이 되다.
덕석이 멍석인 듯,약간 비슷함을 빙자하여 그 실물인 것처럼 자처함을 비유적으로 이르는 말.
덜 곪은 부스럼에 아니 나는 고름 짜듯,상을 몹시 찌푸리는 모양을 비유적으로 이르는 말.
덩덩하니 문 너머 굿인 줄 아느냐,무엇이 얼씬만 하여도 좋은 일이나 구경거리가 있는 줄 알고 속단함을 비유적으로 이르는 말.
덫 안에 든 쥐,궁지에서 벗어날 수 없는 처지를 비유적으로 이르는 말.
덮어놓고 열넉 냥 금,내용을 살피지 않고 함부로 판단함을 비유적으로 이르는 말.
덴 가슴,어떤 일에 한번 몹시 혼난 일이 있는 사람이 걸핏하면 병적으로 가슴을 두근거리며 겁냄을 비유적으로 이르는 말.
덴 데 털 안 난다, 한 번 크게 실패를 하면 다시 일어나기 어려움을 비유적으로 이르는 말.
덴 소 날치듯, 물불을 가리지 못하고 함부로 날뜀을 비유적으로 이르는 말.
도가 뜨다,도가를 하려고 관원이 나오다.
도깨비는 방망이로 떼고 귀신은 경으로 뗀다,귀찮은 존재를 떼는 데는 특수한 방법이 있다는 말.
도깨비는 쳐다볼수록 커 보인다,무슨 일에서나 대담하지 못하고 무서워하기만 하면 더욱 무서워지기 마련임을 비유적으로 이르는 말.
도끼 가진 놈이 바늘 가진 놈을 못 당한다,도끼같이 큰 무기를 가지고 있다고 하여 상대편의 사정을 봐주다가는 도리어 바늘을 가지고 있는 사람에게 진다는 말.
도끼가 제 자루 못 찍는다,자기의 허물을 자기가 알아서 고치기 어려움을 비유적으로 이르는 말.
도끼는 날을 달아 써도 사람은 죽으면 그만,물건은 다시 고쳐 쓸 수 있어도 사람은 생명을 다시 이어 살 수 없다는 말.
도끼라 날 달아 쓸까,"물건은 다시 고쳐 쓸 수 있어도 사람은 생명을 다시 이어 살 수 없다는 말.,어떤 물건이 다시 쓸 수 없게 된 경우를 비유적으로 이르는 말."
도낏자루 썩는 줄 모른다,아주 재미있는 일에 정신이 팔려서 시간 가는 줄 모르는 경우를 비유적으로 이르는 말.
도둑 한 놈에 지키는 사람 열이 못 당한다,도난을 방지하기가 어려움을 비유적으로 이르는 말.
도둑놈 문 열어 준 셈,믿지 못할 사람을 신용하여 일을 맡기는 어리석음을 비유적으로 이르는 말.
도둑놈 볼기짝 같다, 얼굴 빛깔이 시푸르죽죽함을 비유적으로 이르는 말.
도둑놈 부싯돌만 한 놈,하잘것없는 사람을 낮잡아 이르는 말.
도둑놈 소 몰듯,당황하여 황급히 서두르는 모양을 비유적으로 이르는 말.
도둑놈 열쇠 맡긴 셈,믿지 못할 사람을 신용하여 일을 맡기는 어리석음을 비유적으로 이르는 말.
도둑놈은 한 죄 잃은 놈은 열 죄,"도둑은 물건을 훔친 죄 하나밖에 없으나 잃은 사람은 간수를 잘못한 일, 공연히 남을 의심한 일 따위의 여러 가지 죄를 짓게 됨을 비유적으로 이르는 말."
도둑놈의 뒤턱을 친다, 아주 못된 짓을 함을 비유적으로 이르는 말.
도둑놈이 몽둥이 들고 길 위에 오른다,잘못한 놈이 도리어 기세를 올리고 나무람을 비유적으로 이르는 말.
도둑놈이 제 말에 잡힌다,나쁜 짓을 하고 그것을 숨기려고 하나 저도 모르는 사이에 죄를 드러내고 맒을 비유적으로 이르는 말.
도둑을 맞으려면 개도 안 짖는다,운수가 나쁘면 모든 것이 제대로 되지 않음을 비유적으로 이르는 말.
도둑의 집에 한당이 들었다,몹쓸 놈이 그보다 더 몹쓸 놈에게 변을 당함을 비유적으로 이르는 말.
도둑의 집에도 되는 있다,못된 짓을 하는 사람에게도 경위와 종작이 있음을 비유적으로 이르는 말.
도둑이 들려면 개도 안 짖는다,운수가 나쁘면 모든 것이 제대로 되지 않음을 비유적으로 이르는 말.
도둑질은 내가 하고 오라는 네가 져라,나쁜 짓을 해서 이익은 자기가 차지하고 그것에 대한 벌은 남보고 받으라는 경우를 비유적으로 이르는 말.
도랑물이 소리를 내지 깊은 호수가 소리를 낼가,속에 든 것이 없는 사람일수록 더 아는 체하고 떠듦을 비유적으로 이르는 말.
도마 위의 고기가 칼을 무서워하랴,죽음을 이미 각오한 사람이 무엇이 무섭겠냐는 말.
도장 찍히다,어떤 사실이나 흔적이 뚜렷이 드러나다.
도적고양이 제상에 오른다, 못된 자가 버릇없는 짓을 함부로 함을 비유적으로 이르는 말.
도적놈 도망간 뒤에 몽둥이 들고 나선다,일이 다 틀어진 뒤에야 때늦게 소용없이 돌아침을 비유적으로 이르는 말.
도적의 때는 아무 때건 벗는다,억울하게 누명을 쓰더라도 언젠가는 사실이 밝혀져 그 누명을 벗을 수 있게 된다는 말.
도적이 돈을 빼앗지 못하면 주인 뺨이라도 때리고 뛴다,도둑은 결코 그냥 물러서는 법이 없고 반드시 해로운 일을 하고야 만다는 것을 비유적으로 이르는 말.
도적이 주인더러 밥 잡수 한다, 잘못을 저지른 자가 매우 뻔뻔스럽게 행동함을 비유적으로 이르는 말.
도척의 개 범 물어 간 것 같다, 싫어하는 사람이 잘못되거나 불행하여지는 것을 보고 매우 통쾌하게 여기거나 기뻐함을 이르는 말.
도토리는 벌방을 내려다보면서 열린다,"농사가 잘되는 때에는 도토리도 많이 열림을 비유적으로 이르는 말.,도토리는 산에서 벌을 내려다보고 벌이 풍년이면 안 열리고 벌이 흉년이면 잘 열린다는 말."
독 들이다,어떤 목적을 실현하려고 독한 마음을 먹다.
독 안에 든 쥐,궁지에서 벗어날 수 없는 처지를 비유적으로 이르는 말.
독 안에 들다,이미 잡힌 것이나 다름없다.
독 안에서 소리치기,평소에 남이 보지 않는 곳에서나 큰소리치고 잘난 척함을 비유적으로 이르는 말.
독 안에서 푸념," 마음이 옹졸하여 하는 짓이 답답함을 이르는 말.,속이 음흉하여 무슨 짓을 할지 모르겠다는 말."
독 지고 당나귀 탄 것 같다,안정감이 없이 매우 불안하고 위태로워 보이는 상황을 비유적으로 이르는 말.
독 틈에도 용소가 있다, 무슨 일에든지 남을 속이려 하는 수작이 있으니 조심해야 한다는 말.
독 틈에서 쥐 잡기, 어떤 작은 성과를 내려다가 큰 손실을 볼 수 있는 위태로운 일을 함을 비유적으로 이르는 말.
독수공방에 정든 님 기다리듯, 무엇인가를 간절히 바라는 모양을 비유적으로 이르는 말.
독장수구구는 독만 깨뜨린다,실현성이 없는 허황된 계산은 도리어 손해만 가져온다는 말.
돈 놓고는 못 웃어도 아이 놓고는 웃는다, 재물보다 자식이 더 소중하다는 말.
돈 다음에 나온 놈, 돈밖에 모르는 인색한 자를 욕으로 하는 말.
돈 모아 줄 생각 말고 자식 글 가르쳐라,자식을 위하는 가장 좋은 유산은 교육을 잘 시키는 일임을 강조하는 말.
돈 없는 놈이 큰 떡 먼저 든다,자격을 갖추지 못한 자가 도리어 먼저 나댈 때 이르는 말.
돈낟가리를 쌓다,도저히 실현될 수 없는 재물을 꿈꾸는 공상을 하다.
돈만 있으면 개도 흉한 짓을 한다,천한 사람도 돈만 있으면 다른 사람들이 귀하게 대접함을 비유적으로 이르는 말.
돈은 도적맞을 수 있어도 땅은 도깨비도 떠메고 갈 수 없다,땅이 가장 안전하고 없어질 걱정이 없는 재산이라는 것을 비유적으로 이르는 말.
돈은 있다가도 없어지고 없다가도 생기는 법이라,재물은 돌고 도는 것이므로 재물을 가지고 상대를 평가하는 것은 어리석은 일이라는 말.
돈이 많으면 장사를 잘하고 소매가 길면 춤을 잘 춘다,모든 일이 잘되려면 그 소재가 좋고 풍족하여야 함을 비유적으로 이르는 말.
돈피 옷 잣죽에 자랐느냐,"생활을 매우 호사스럽게만 하려고 하는 것을 비유적으로 이르는 말.,기혈이 약한 것을 비유적으로 이르는 말."
돌 뚫는 화살은 없어도 돌 파는 락수는 있다, 무슨 일이나 오래도록 꾸준히 하면 결국 성공할 수 있음을 비유적으로 이르는 말.
돌담 배 부른 것,도무지 유용한 데는 없고 해만 끼치는 존재를 비유적으로 이르는 말.
돌로 치면 돌로 치고 떡으로 치면 떡으로 친다,남이 나를 대하는 것만큼 나도 남을 그만큼밖에는 대접하지 아니한다는 것을 비유적으로 이르는 말.
돌배도 맛 들일 탓,처음에는 싫다가도 차차 재미를 붙이고 정을 들이면 좋아질 수도 있다는 것을 비유적으로 이르는 말.
돌을 들어 제 발등을 깬다, 자기 잘못으로 일을 망치는 경우를 비유적으로 이르는 말.
돌절구도 밑 빠질 때가 있다,"아무리 튼튼한 것이라도 영구불변한 것은 없다는 말.,명문거족이라도 영원히 몰락하지 않는 법은 없다는 말."
돌쩌귀에 불이 나겠다, 사람이 많이 드나듦을 비유적으로 이르는 말.
돌총 놓다,무엇을 때리거나 깨기 위하여 돌을 마구 내던지다.
돗자리 말듯 하다,무슨 일을 시원스럽게 해치우다.
동 대다,"도중에 떨어지지 아니하게 계속 잇대다.,말 따위를 조리에 맞게 하다."
동냥아치 첩도 제멋에 한다,세상 사람들이 다 좋다고 하는 일은 아니하고 나쁘다고 하는 일만 하는 사람을 보고 하는 말.
동냥은 안 주고 쪽박만 깬다,요구하는 것은 안 주고 도리어 방해만 한다는 말.
동냥자루도 제멋에 찬다,"모든 사람이 천시하는 동냥질도 제가 하고 싶어서 한다는 말.,세상 사람들이 다 좋다고 하는 일은 아니하고 나쁘다고 하는 일만 하는 사람을 보고 하는 말."
동냥치 첩도 제멋에 취한다,세상 사람들이 다 좋다고 하는 일은 아니하고 나쁘다고 하는 일만 하는 사람을 보고 하는 말.
동네 개 짖는 소리,남이 하는 말을 무시하여 들은 체도 아니함을 비유적으로 이르는 말.
동네가 구열하면 소를 잡아먹고 집단이 구열하면 닭을 잡아먹는다, 사람들이 단합하여 화목하게 지내는 것이 중요함을 비유적으로 이르는 말.
동녘이 번하니까 다 내 세상인 줄 안다,세상 물정 모르고 무슨 일이나 다 좋게만 될 것으로 과대망상을 하고 있다는 말.
동무 사나워 뺨 맞는다,성미가 좋지 않거나 손버릇이 나쁜 친구와 함께 있다가 남에게 추궁받는 서슬에 자기도 함께 욕을 당한다는 말.
동방삭이 밤 깎아 먹듯,조급하여 어떤 일을 반만 하다 마는 경우를 이르는 말.
동성아주머니 술도 싸야 사 먹지,아무리 친근한 사이라도 이익이 있어야 관계하게 됨을 비유적으로 이르는 말.
동아 속 썩는 것은 밭 임자도 모른다,남의 속 걱정은 아무리 가깝게 지내는 사람도 알 수가 없음을 비유적으로 이르는 말.
동의 일 하라면 서의 일 한다,말을 잘 알아듣지 못하여 딴전만 부린다는 말.
동정 못 다는 며느리 맹물 발라 머리 빗는다, 일을 할 줄 모르는 주제에 멋만 부리는 밉살스러운 행동을 비꼬는 말.
동정호 칠백 리를 내 당나귀 타고 간다,자기의 세력이 미치는 곳에서 자기 마음대로 행동함을 비유적으로 이르는 말.
동지 지나 열흘이면 해가 소 누울 자리만큼 길어진다,동지가 지나면 낮 시간이 길어지고 밤 시간이 짧아진다는 말.
돼지 값은 칠 푼이요 나뭇값은 서 돈이다,주된 것보다 부차적인 것이 오히려 비용이 더 많이 듦을 비유적으로 이르는 말.
돼지가 깃을 물어 들이면 비가 온다,둔하고 미련한 사람의 직감이 들어맞음을 비유적으로 이르는 말.
되는 것도 안 되는 것도 없다,옳은 방법으로 하는 일은 안되고 부정한 방법으로는 안되는 일이 없는 어지러운 세상을 이르는 말.
되로 주고 말로 받는다,조금 주고 그 대가로 몇 곱절이나 많이 받는 경우를 비유적으로 이르는 말.
되잡아 흥,나무람을 들을 사람이 도리어 남을 나무라다.
되짚어 흥,나무람을 들을 사람이 도리어 남을 나무라다.
된벼락 맞다,몹시 호된 타격을 받다.
될 수 있는 대로,가능한 한 최대로.
될 수 있으면,가능한 한.
두 계집 둔 놈의 똥은 개도 안 먹는다,첩을 둔 자의 마음은 몹시 괴로워 속이 썩는다는 말.
두 길마 보다,어느 한쪽이 잘못되더라도 자기에게 불리하게 되지 아니하도록 두 쪽에 다 관계를 가지고 살펴보다.
두 눈에서 불이 번쩍 나게,두 눈에서 불이 일도록 날래거나 예리하게.
두 눈의 부처가 발등걸이 했다, 눈이 뒤집혔다는 말.
두 눈이 꿀단지 같다,매우 놀랄 만한 것을 보거나 긴장하여 두 눈이 커지다.
두 볼에 밤을 물다,마땅치 아니하거나 성이 나서 뾰로통한 모양을 이르는 말.
두 소경 한 막대 짚고 걷는다,어리석은 두 사람이 같은 잘못을 저지르는 경우를 비유적으로 이르는 말.
두 손 들다,"자기 능력에서 벗어나 그만두다.,전적으로 환영하거나 찬성하다."
두 수 보다,하나를 통하여 두 곳에서 이익을 보거나 잇따라 두 번 이익을 보다.
두견이 목에 피 내어 먹듯,남에게 억울한 일이나 못 할 짓을 하여 재물을 빼앗음을 이르는 말.
두고 보다,어떤 결과가 될지를 일정 기간 동안 살펴보다.
두고 보자는 건 무섭지 않다,당장에 화풀이를 하지 못하고 두고 보자는 사람은 두려울 것이 없다는 말.
두렁에 누운 소,편하여 팔자가 좋다는 말.
두렁에 든 소, 이리하거나 저리하거나 풍족한 형편에 놓인 사람 또는 그런 형편을 비유적으로 이르는 말.
두말 못 하다,더 이상은 이렇다 저렇다 말하지 못하고 기죽어 있다.
두메로 꿩 사냥 보내 놓고,당장 닥친 일은 어떻게든지 해 놓고 보자고 하는 것을 이르는 말.
두벌자식이 더 곱다,아들보다 손자가 더 귀여움을 이르는 말.
두부살에 바늘뼈, 몸이 아주 연약한 사람을 비유적으로 이르는 말.
두었다가 국 끓여 먹겠느냐,써야 할 것을 쓰지 아니하고 너무 아껴 두기만 함을 놀림조로 이르는 말.
뒤 구리다,숨겨 둔 약점이나 잘못이 있다.
뒤가 드러나다,비밀로 하거나 숨긴 일이 나타나거나 알려지다.
뒤가 무사하다,어떤 일의 뒤끝에 대하여 걱정할 만한 것이 전혀 없거나 걱정을 하지 않아도 되다.
뒤로 오는 호랑이는 속여도 앞으로 오는 팔자는 못 속인다,이미 정하여진 팔자는 모면을 하기가 매우 어렵다는 말.
뒤를 노리다,남의 말과 행동을 자세히 보아 결함이나 약점을 찾아내려고 기회를 엿보다.
뒤를 누르다,뒷일을 걱정하여 미리 다짐받다.
뒤를 다지다,뒷일이 잘못되지 않게 하기 위하여 미리 다짐받다.
뒤를 맡기다,뒷일을 맡기다.
뒤를 묻어가다,뒤를 이어 따라가다.
뒤에 볼 나무는 그루를 돋우어라,앞으로 희망을 걸 대상에 대해서는 뒷일을 미리부터 깊이 생각하여 보살피라는 말.
뒤에 볼 나무는 뿌리를 높이 잘라라,앞으로 희망을 걸 대상에 대해서는 뒷일을 미리부터 깊이 생각하여 보살피라는 말.
뒤에 오면 석 잔,"술자리에서, 늦게 온 사람은 벌로 거푸 석 잔의 술을 마셔야 한다면서 술을 권하는 말."
뒤웅박 신고 얼음판에 선 것 같다,몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.
뒤턱 놓다,노름판에서 남에게 붙어 돈을 걸다.
뒷간에 갈 적 마음 다르고 올 적 마음 다르다,자기 일이 아주 급한 때는 통사정하며 매달리다가 그 일을 무사히 다 마치고 나면 모른 체하고 지낸다는 말.
뒷간에 앉아서 개 부르듯 한다,자기에게 필요할 때만 찾는다는 말.
뒷짐 지다,어떤 일에 자신은 전혀 상관없는 것처럼 구경만 하고 있다.
뒷집 마당 벌어진 데 솔뿌리 걱정한다, 당치도 아니한 것으로 사건을 수습하려 하는 어리석음을 비웃는 말.
드나 놓으나 하나뿐이다,오직 하나뿐이다.
드나드는 개가 꿩을 문다,꾸준하게 열성적으로 노력하는 사람이 일을 이루고 재물을 얻을 수 있다는 말.
드는 돌에 낯 붉는다, 무슨 일이나 결과가 있으면 반드시 그 원인이 있음을 비유적으로 이르는 말.
드는 돌이 있어야 낯이 붉다, 무슨 일이나 결과가 있으면 반드시 그 원인이 있음을 비유적으로 이르는 말.
드는 정은 몰라도 나는 정은 안다,"정이 들 때는 드는 줄 모르게 들어도 정이 떨어져 싫어질 때는 역력히 알 수 있다는 말.,정이 들 때는 드는 줄 몰라도 막상 헤어질 때는 그 정이 얼마나 두터웠던가를 새삼 알게 된다는 말."
드는 종은 몰라도 나는 종은 안다,자기 살림에 보탬이 되는 것은 잘 의식되지 않아도 손해되는 일은 잘 의식된다는 말.
드는 줄은 몰라도 나는 줄은 안다,사람이나 재물이 붇는 것은 눈에 잘 띄지 않아도 그것이 줄어드는 것은 곧 알아차릴 수 있다는 말.
드러난 상놈이 울 막고 살랴,아무것도 없음을 세상이 다 아니 구태여 가난한 것을 남부끄럽게 여길 것이 아니라는 말.
듣기 좋은 꽃노래도 한두 번이지,아무리 좋은 일이라도 여러 번 되풀이하여 대하게 되면 싫어진다는 말.
듣기 좋은 육자배기도 한두 번,아무리 좋은 일이라도 여러 번 되풀이하여 대하게 되면 싫어진다는 말.
들 데 놓을 데를 안다,어떤 일에서나 경우 바르게 처신하다.
들 적 며느리 날 적 송아지, 며느리는 출가해 온 후 일만 하고 산다는 말.
들 중은 소금을 먹고 산 중은 나물을 먹는다,"자기와는 아무 상관 없는 일에 쓸데없이 간섭한다는 말.,무슨 일이든지 무리하지 말고 사정이 허락하는 대로 하라는 말."
들머리판 내다,다 들어먹고 끝장이 나게 하다.
들어서 죽 쑨 놈은 나가서도 죽 쑨다,"집에서 일만 하던 놈은 나가서도 일만 하게 된다는 말.,집에서 하던 버릇은 집을 나가서도 버리지 못한다는 말."
들었다 놓다,"일정한 범위 안에서 나는 소리가 그 범위 안에 있는 모든 것을 들어 올렸다가 도로 놓을 정도로 매우 힘 있고 요란하게 울림을 비유적으로 이르는 말.,굉장히 큰 영향을 미치다.,몹시 분주하게 굴거나 부산을 피우다."
들으면 병이요 안 들으면 약이다,들어서 걱정될 일은 듣지 않는 것이 차라리 낫다는 말.
들은 귀는 천 년이요 한 입은 사흘이라,모진 말을 한 사람은 쉽게 잊고 말지만 그 말을 들은 사람은 쉽게 잊지 못하고 두고두고 상처를 받는다는 말.
들은 말 들은 데 버리고 본 말 본 데 버려라,말을 옮기지 말라는 말.
들지 않는 솜틀은 소리만 요란하다,"못난 사람일수록 잘난 체하고 큰소리를 침을 비유적으로 이르는 말.,아무 일도 하지 않으면서 하는 체하고 떠벌리기만 함을 비유적으로 이르는 말."
등 시린 절 받기 싫다,자기가 푸대접한 사람에게 극진한 대접을 받는 것은 등에 소름 끼치는 것같이 기분 좋지 아니하다는 말.
등 치고 간 내먹다,겉으로는 위하여 주는 체하면서 속으로는 해를 끼친다는 말.
등걸이 없는 휘추리가 있나,부모가 있어야 자식이 있는 것이니 부모에게 효도하라는 말.
등겨가 서 말만 있으면 처가살이 안 한다,처가살이는 할 것이 못 됨을 이르는 말.
등골 오싹하다,등골에 소름이 끼칠 정도로 매우 놀라거나 두렵다.
등골 우리다,달래거나 위협하여 남의 재물을 억지로 빼앗다.
등곱쟁이 제사 지내듯,"날쌔게 일을 처리함을 비유적으로 이르는 말.,앉은자리에서 일을 어물어물 해치움을 비유적으로 이르는 말."
등껍질만 남다,살이 빠져 몹시 여위다.
등세를 타다,남의 힘이나 세력에 의지하다.
등쌀 대다,남을 지겹도록 몹시 귀찮게 하다.
등에 찬물을 끼얹는 듯,정신이 아찔하고 몹시 긴장됨을 비유적으로 이르는 말.
등으로 먹고 배로 먹는다,이모저모로 다 이익을 얻다.
등을 긁어먹다,음흉하고 교활하게 남의 재물을 빼앗다.
등이 더우랴 배가 부르랴, 어떤 일이 자기에게 아무 이익이 되지 아니함을 비유적으로 이르는 말.
등이 따스우면 배부르다,"옷을 잘 입고 있는 사람이면 배도 부른 사람이라는 말.,추운 날 더운 데 누워 있으면 먹지 아니하여도 배고픈 줄 모른다는 말."
등잔 밑이 어둡다,대상에서 가까이 있는 사람이 도리어 대상에 대하여 잘 알기 어렵다는 말.
따벌둥지 보고 꿀돈 내여 쓴다," 될지 안 될지도 모를 일을 가지고 미리 그 이익을 당겨 씀을 비유적으로 이르는 말.,일을 매우 서두르는 모양을 놀림조로 이르는 말."
딱딱하기는 삼 년 묵은 물박달나무 같다,융통성이 없고 고집이 매우 센 사람을 이르는 말.
딱지가 덜 떨어지다, 치기를 벗어나지 못한 상태를 이르는 말.
딴게 아니라,다른 까닭이 있는 게 아니라.
딸 덕에 부원군,출가한 딸의 도움으로 무슨 일을 하거나 잘되는 것을 이르는 말.
딸 먹는 것은 쥐 먹는 것 같다,"딸에게 조금씩 자꾸 드는 비용을 합쳐 보면 양이 많음을 비유적으로 이르는 말.,쥐 먹는 것을 못 먹게 할 수 없듯이 딸에게 드는 비용은 어쩔 수 없이 써야 된다는 말."
딸 손자는 가을볕에 놀리고 아들 손자는 봄볕에 놀린다,딸 손자를 아들 손자보다 더 귀엽게 여긴다는 말.
딸 죽은 사위 불 꺼진 화로,직접적인 인연이나 관계가 끊어져 쓸데없거나 긴요하지 않게 된 것을 비유적으로 이르는 말.
딸은 두 번 서운하다,"딸은 태어날 때 아들이 아니라 서운하고, 시집보낼 때도 서운하다는 말."
딸은 옆집에 줘도 강아지는 옆집에 못 준다,키워 준 주인을 따르는 개의 습성을 이르는 말.
딸은 제 딸이 고와 보이고 곡식은 남의 곡식이 탐스러워 보인다,"자식은 남의 자식보다 제 자식이 나아 보이고, 물건은 남의 물건이 제 물건보다 좋아 보임을 이르는 말."
딸을 주겠거던 류월 달에 벼 누런 집에 주라,유월에 벼가 누런 집에 시집을 가야 굶지 않고 잘살 수 있다는 말.
딸의 집에서 가져온 고추장,물건을 몹시 아껴 두고 쓴다는 말.
딸이 하나면 과하고 반이면 모자란다,딸은 하나만 되어도 과하다고 여길 만큼 부모의 부담이 크다는 말.
땅 파다가 은 얻었다,대수롭지 않은 일을 하다가 뜻밖의 이익을 얻게 됨을 비유적으로 이르는 말.
땅내 맡다,"옮겨 심은 식물이 새로운 땅에 뿌리를 내려 생기 있는 상태가 되다.,동물이 그 땅에서 생명을 얻다."
땅내가 고소하다,머지않아 죽게 될 것 같다는 말.
땅벌 집 보고 꿀 돈 내어 쓴다,일이 되기도 전에 거기서 나올 이익부터 생각하여 돈을 앞당겨 씀을 비유적으로 이르는 말.
땅을 열 길 파도 고리전 한 푼 생기지 않는다,돈이 생기는 것은 공짜로 되는 것이 아니므로 한 푼의 돈이라도 아껴 쓰라는 말.
땅을 열 길 파면 돈 한 푼이 생기나,돈이 생기는 것은 공짜로 되는 것이 아니므로 한 푼의 돈이라도 아껴 쓰라는 말.
때 빼고 광내다,몸치장을 하고 멋을 내다.
땡전 한 푼 없다,가진 돈이 한 푼도 없다는 말.
떠들기는 천안 삼거리,늘 끊이지 아니하고 떠들썩한 데를 비유적으로 이르는 말.
떠오르는 별,어떤 분야에 새로이 등장하여 두각을 나타내는 사람을 비유적으로 이르는 말.
떡 다 건지는 며느리 없다,사람은 누구나 남의 눈을 속여 자기의 실속을 차리는 성향이 있다는 말.
떡 도르라면 덜 도르고 말 도르라면 더 도른다,사람들이 말을 남에게 전하여 소문이 돌게 하기를 좋아한다는 말.
떡 먹은 값을 하다,나잇값을 하다.
